dept_code,name,field,nuts3,region,vac_2025,base_2025,ebe_coefficient,tourism_per_capita,gdp_per_capita,is_metro,base_2019
1006,ΚΟΙΝΩΝΙΟΛΟΓΙΑΣ (ΑΘΗΝΑ) - ΕΚΠΑ,1ο,EL303,Kentrikos Tomeas Athinon,0.0,13270.0,1.0,7.859,38500,True,14810.0
112,ΙΣΤΟΡΙΑΣ ΚΑΙ ΑΡΧΑΙΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),1ο,EL522,Thessaloniki,0.4394904458598726,12425.0,1.1,3.616,16900,True,14747.0
210,ΜΗΧΑΝΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ (ΚΟΖΑΝΗ),2ο,EL531,"Grevena, Kozani",0.3640776699029126,14714.0,1.2,0.98,15900,False,14736.0
223,ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ (ΞΑΝΘΗ),2ο,EL512,Xanthi,0.24096385542168675,14310.0,1.2,1.469,11100,False,14724.0
375,ΤΟΥΡΙΣΤΙΚΩΝ ΣΠΟΥΔΩΝ (ΠΕΙΡΑΙΑΣ),4ο,EL307,"Peiraias, Nisoi",0.0,14785.0,1.2,3.126,22300,True,14694.0
125,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ (ΑΘΗΝΑ),1ο,EL303,Kentrikos Tomeas Athinon,0.0,12760.0,1.0,7.859,38500,True,14682.0
109,ΦΙΛΟΛΟΓΙΑΣ (ΑΘΗΝΑ),1ο,EL303,Kentrikos Tomeas Athinon,0.06060606060606061,11304.0,1.0,7.859,38500,True,14677.0
216,ΕΠΙΣΤΗΜΗΣ ΥΠΟΛΟΓΙΣΤΩΝ (ΗΡΑΚΛΕΙΟ),4ο,EL431,Irakleio,0.0,15646.0,1.2,47.821,15800,False,14668.0
1438,ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ (ΛΑΜΙΑ),3ο,EL644,Fthiotida,0.808695652173913,14380.0,1.2,2.285,15000,False,14657.0
273,ΓΕΩΠΟΝΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ) - ΑΠΘ,3ο,EL522,Thessaloniki,0.6683937823834197,14380.0,1.2,3.616,16900,True,14644.0
678,ΒΙΟΪΑΤΡΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΑΙΓΑΛΕΩ),3ο,EL302,Dytikos Tomeas Athinon,0.0,14130.0,1.0,0.066,13900,True,14622.0
681,ΜΑΙΕΥΤΙΚΗΣ (ΑΙΓΑΛΕΩ),3ο,EL302,Dytikos Tomeas Athinon,0.36893203883495146,13200.0,1.1,0.066,13900,True,14622.0
404,ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΚΟΜΟΤΗΝΗ),4ο,EL513,Rodopi,0.0,13219.0,0.8,2.051,12100,False,14617.0
243,ΜΑΘΗΜΑΤΙΚΩΝ (ΑΘΗΝΑ),2ο,EL303,Kentrikos Tomeas Athinon,0.5659340659340659,14500.0,1.2,7.859,38500,True,14617.0
